GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
944,1979.1,4431.16,5657.89,525.71,300.75,-144.42,-4135.73,-34291.74,1864.37,23133.77,-6096.89,200.72,-679.15,-5896.17,-6575.32
945,1904.51,4561.7,5605.88,551.61,265.27,-92.77,-4092.87,-34328.36,1824.62,23009.38,-5995.16,203.3,-791.02,-5791.86,-6582.88
946,1851.46,4493.36,5597.74,545.84,276.82,-138.54,-4033.14,-34357.29,1927.71,23141.45,-6072.91,205.08,-694.6,-5867.83,-6562.43
947,1979.65,4437.01,5589.23,550.23,289.17,-109.91,-4076.39,-34205.93,1860.86,23051.1,-6173.05,205.72,-634.97,-5967.33,-6602.3
948,1871.35,4511.99,5619.58,562.84,291.97,-112.29,-4138.45,-34240.5,1900.47,23223.25,-6247.1,203.88,-509.79,-6043.21,-6553.0
949,1867.28,4470.7,5593.73,561.03,287.4,-86.16,-4124.65,-34015.32,1870.01,23161.41,-6369.44,205.28,-414.57,-6164.16,-6578.72
950,1874.87,4587.59,5618.46,560.57,299.81,-100.04,-4127.76,-34053.58,1874.03,22991.16,-6248.07,203.83,-474.91,-6044.24,-6519.15
951,1875.07,4575.48,5608.58,553.32,264.91,-130.33,-4110.42,-34243.58,1864.63,23082.35,-6166.73,203.4,-660.0,-5963.33,-6623.32
952,2017.63,4445.16,5594.37,541.94,293.19,-128.06,-4124.32,-34086.18,1853.18,23103.21,-6286.44,207.01,-489.87,-6079.43,-6569.3
953,1935.07,4537.36,5599.98,545.73,264.63,-121.8,-4105.52,-34214.39,1871.82,23060.51,-6181.79,207.21,-626.61,-5974.58,-6601.19
954,1923.36,4453.96,5654.6,557.74,281.34,-148.05,-4056.32,-34184.06,1908.16,23028.07,-6254.84,207.78,-581.21,-6047.06,-6628.27
955,1958.92,4522.5,5620.94,551.91,311.83,-126.51,-4097.43,-34326.09,1831.48,23126.04,-6150.62,203.55,-626.41,-5947.07,-6573.48
