GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
137,11.01,31.77,3.89,0.0,0.12,0.0,-3.57,37.08,27.58,-84.8,-74.69,3.22,23.09,-71.47,-48.38
138,7.73,30.75,0.94,0.0,0.71,0.0,-4.46,37.43,29.3,-86.28,-75.33,3.23,16.12,-72.1,-55.98
139,12.66,39.44,0.71,0.0,0.07,0.0,-4.15,38.13,29.81,-87.39,-77.58,3.23,29.28,-74.35,-45.07
140,15.44,29.01,2.45,0.0,0.04,0.0,-4.31,40.72,26.65,-86.73,-77.26,3.22,23.27,-74.04,-50.78
141,13.16,31.02,4.67,0.0,0.23,0.0,-5.14,43.14,25.36,-86.4,-76.01,3.24,26.05,-72.77,-46.73
142,12.15,25.85,3.88,0.0,0.39,0.0,-5.62,40.28,29.02,-86.53,-75.49,3.19,19.41,-72.29,-52.88
143,14.15,33.55,2.08,0.0,0.16,0.0,-6.34,37.57,24.56,-82.6,-76.71,3.24,23.12,-73.47,-50.35
144,10.58,29.42,3.05,0.0,0.08,0.0,-5.63,37.38,28.43,-81.6,-77.22,3.25,21.71,-73.97,-52.26
145,13.9,28.56,1.86,0.0,0.03,0.0,-4.56,40.33,30.03,-90.86,-74.97,3.25,19.3,-71.72,-52.43
146,15.77,22.72,1.8,0.0,0.04,0.0,-5.47,41.19,28.95,-87.74,-77.29,3.22,17.24,-74.06,-56.82
147,12.75,29.37,1.01,0.0,0.14,0.0,-3.7,37.47,30.29,-89.7,-72.32,3.23,17.65,-69.09,-51.44
148,20.89,29.67,5.5,0.0,0.2,0.0,-3.7,39.52,27.44,-90.33,-76.19,3.22,29.19,-72.97,-43.78
149,10.71,25.05,1.02,0.0,0.06,0.0,-5.49,38.8,31.66,-90.26,-74.76,3.23,11.56,-71.53,-59.97
150,10.9,29.18,4.47,0.0,0.04,0.0,-5.82,38.4,29.94,-88.04,-72.7,3.22,19.08,-69.48,-50.4
151,12.82,32.98,4.85,0.0,0.04,0.0,-6.49,38.97,27.08,-87.57,-77.13,3.26,22.69,-73.87,-51.18
152,12.1,34.24,2.19,0.0,0.17,0.0,-5.53,36.59,29.28,-84.69,-74.32,3.23,24.36,-71.09,-46.73
153,15.58,31.9,2.92,0.0,0.74,0.0,-2.5,36.63,23.45,-83.77,-76.15,3.24,24.96,-72.91,-47.95
154,12.65,27.84,1.11,0.0,0.04,0.0,-6.73,39.64,27.33,-85.31,-79.21,3.27,16.58,-75.94,-59.36
155,9.7,36.15,2.06,0.0,0.23,0.0,-5.56,38.12,27.1,-87.91,-73.67,3.24,19.9,-70.43,-50.54
156,9.75,26.94,1.02,0.0,0.09,0.0,-5.67,36.57,26.6,-83.96,-77.61,3.25,11.34,-74.36,-63.02
157,13.03,29.82,0.03,0.0,0.15,0.0,-4.08,38.53,24.61,-85.99,-76.13,3.24,16.11,-72.89,-56.78
158,13.01,36.25,2.66,0.0,0.19,0.0,-5.47,39.42,29.54,-89.13,-75.15,3.22,26.47,-71.93,-45.46
159,13.51,32.09,4.53,0.0,0.39,0.0,-4.99,36.45,25.85,-85.93,-74.73,3.24,21.9,-71.49,-49.59
160,12.01,28.31,1.8,0.0,0.01,0.0,-5.58,38.44,25.79,-85.44,-75.14,3.24,15.36,-71.9,-56.54
161,16.88,22.75,2.26,0.0,0.16,0.0,-6.22,41.33,32.57,-87.19,-76.6,3.21,22.54,-73.39,-50.85
162,15.14,29.85,5.7,0.0,0.11,0.0,-2.21,38.06,26.13,-85.58,-76.72,3.24,27.2,-73.48,-46.28
163,7.93,38.97,0.56,0.0,0.03,0.0,-5.22,38.97,30.69,-86.94,-74.8,3.2,24.99,-71.6,-46.61
164,15.83,25.15,0.8,0.0,0.1,0.0,-4.18,37.89,31.39,-87.7,-77.27,3.24,19.29,-74.03,-54.75
