smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,toxicity_score
C=CC(C)=CCC=C(C)CCC=C(C)C,-5.434,4.52,6.286,0.768,0.003,0.005,0.851,0.97,-4.565,1.5389123291242868e-05,0.218,94.43482971191406%,5.502,4.625548839569092%,0.904,0.323,0.484,0.876,0.363,0.909,0.407,0.538,0.321,0.269,14.162,0.307,0.029,0.967,0.028,0.004,0.016,0.374,0.965,0.772,0.954,0.983,0.262,2.941,3.376,5.371,5.904,0.011,0.005,0.008,0.019,0.044,0.215,0.011,0.634,0.006,0.647,0.279,0.116,204.19,257.45,0.793,0,0,0.0,6,0,0,0,0,4,1.5,0,0,0,1,0,0,1,2,0,0.412,3.162,0.467,0.0,2.774,0,0,0,0,Accepted,Rejected,Rejected,Accepted,4
C=C(C)C1CCC(C)=C2CCC(C)C2C1,-5.712,4.561,5.227,0.201,0.0,0.004,0.363,0.007,-4.528,1.5536981663899496e-05,0.879,95.85452270507812%,4.902,2.0558464527130127%,0.382,0.755,0.177,0.891,0.282,0.868,0.013,0.88,0.414,0.465,11.791,0.057,0.029,0.209,0.188,0.011,0.015,0.189,0.078,0.471,0.02,0.595,0.226,3.05,3.674,4.324,5.898,0.036,0.003,0.009,0.004,0.24,0.708,0.004,0.027,0.004,0.349,0.272,0.01,204.19,245.61,0.831,0,0,0.0,1,2,10,0,0,12,0.083,3,0,0,0,0,0,1,0,0,0.542,3.904,0.733,31.385,2.698,0,0,0,0,Accepted,Rejected,Rejected,Accepted,1
CC1=CCC(C(C)C)C=C1,-3.985,3.415,3.857,0.001,0.013,0.005,0.014,0.146,-4.383,2.3885782866273075e-05,0.835,92.01142883300781%,2.963,7.747944355010986%,0.258,0.471,0.178,0.93,0.142,0.337,0.059,0.832,0.274,0.639,12.66,0.617,0.024,0.76,0.014,0.011,0.038,0.723,0.94,0.344,0.183,0.957,0.855,2.36,3.08,3.674,4.176,0.004,0.003,0.008,0.003,0.144,0.178,0.002,0.151,0.004,0.177,0.037,0.006,136.13,167.687,0.812,0,0,0.0,1,1,6,0,0,6,0.167,1,0,0,0,0,0,1,0,0,0.519,3.505,0.6,13.5,2.835,0,0,0,0,Accepted,Rejected,Accepted,Rejected,4
CC1=CCC2C(C1)C2(C)C,-4.652,3.762,4.36,0.0,0.0,0.003,0.125,0.127,-4.307,2.097228389175143e-05,0.804,91.51588439941406%,3.601,11.942855834960938%,0.706,0.324,0.339,0.839,0.275,0.77,0.013,0.448,0.045,0.23,16.061,0.132,0.01,0.172,0.049,0.004,0.035,0.155,0.785,0.147,0.941,0.98,0.266,2.763,3.374,3.766,5.793,0.006,0.002,0.007,0.005,0.122,0.222,0.003,0.02,0.003,0.118,0.086,0.002,136.13,161.767,0.842,0,0,0.0,0,2,7,0,0,8,0.0,2,0,0,0,0,0,1,0,0,0.449,3.688,0.8,30.667,2.769,0,0,0,0,Accepted,Rejected,Rejected,Rejected,2
CC1(C)C2CC3OC3(C)C1C2,-3.002,2.878,2.889,0.003,0.0,0.003,0.004,0.101,-4.543,3.1321113056037575e-05,0.896,54.70627212524414%,1.939,53.00514602661133%,0.109,0.363,0.053,0.896,0.21,0.213,0.005,0.699,0.019,0.296,19.038,0.18,0.016,0.216,0.025,0.006,0.047,0.86,0.102,0.054,0.771,0.976,0.965,2.924,4.7,5.531,5.728,0.004,0.003,0.003,0.005,0.218,0.571,0.007,0.014,0.003,0.008,0.078,0.005,152.12,164.637,0.924,1,0,12.53,0,3,0,1,0,10,0.0,4,2,1,2,0,3,3,1,5,0.485,4.754,1.0,48.6,3.117,0,0,0,0,Accepted,Accepted,Accepted,Rejected,3
CC1=CCC(CC=O)C1(C)C,-2.989,2.811,2.72,0.002,0.0,0.004,0.094,0.006,-4.363,2.0314315406722017e-05,0.975,52.476356506347656%,2.311,44.25414276123047%,0.081,0.443,0.056,0.8,0.02,0.783,0.02,0.653,0.025,0.268,9.867,0.246,0.004,0.054,0.025,0.01,0.022,0.077,0.951,0.686,0.992,0.987,0.955,1.917,3.384,4.202,5.214,0.005,0.004,0.006,0.016,0.096,0.138,0.006,0.019,0.005,0.063,0.07,0.022,152.12,176.477,0.862,1,0,17.07,2,1,5,1,0,6,0.333,1,0,0,1,0,2,0,1,0,0.439,3.651,0.7,18.824,2.276,1,1,0,0,Accepted,Accepted,Accepted,Rejected,3
CC(C)C1C=CC2(C)OC2C1,-3.138,2.948,2.953,0.0,0.002,0.004,0.004,0.136,-4.271,2.650256283232011e-05,0.883,78.36078643798828%,1.534,18.62460708618164%,0.099,0.635,0.066,0.917,0.089,0.085,0.01,0.426,0.536,0.526,14.61,0.28,0.011,0.034,0.032,0.032,0.056,0.046,0.06,0.304,0.107,0.871,0.616,2.391,3.508,4.119,4.318,0.001,0.002,0.004,0.005,0.199,0.57,0.002,0.024,0.003,0.012,0.335,0.013,152.12,170.557,0.892,1,0,12.53,1,2,7,1,0,8,0.125,3,2,1,2,0,2,2,1,5,0.415,4.543,0.8,29.333,2.586,0,0,0,0,Accepted,Accepted,Accepted,Rejected,0
C=C1C(=O)OC2C1CCC1(C)CCCC(C)(O)C21,-3.296,1.993,2.426,0.002,0.0,0.011,0.002,0.005,-4.666,2.431785651424434e-05,0.726,75.77606964111328%,0.911,31.30229949951172%,0.105,0.533,0.175,0.825,0.134,0.141,0.565,0.238,0.26,0.316,13.936,0.146,0.017,0.147,0.294,0.191,0.789,0.4,0.261,0.2,0.005,0.048,0.942,0.972,3.618,4.419,4.976,0.031,0.11,0.004,0.571,0.073,0.408,0.223,0.779,0.032,0.889,0.731,0.851,250.16,263.425,0.95,3,1,46.53,0,3,13,3,0,17,0.0,5,0,0,0,0,3,5,1,1,0.53,4.424,0.8,54.815,3.482,2,2,0,0,Accepted,Accepted,Accepted,Accepted,7
C=C1C(=O)OC2C1CCC1(C)C(O)CC=C(C)C21,-3.124,1.761,2.312,0.0,0.001,0.373,0.289,0.085,-4.659,2.172244967368897e-05,0.819,77.6754379272461%,1.161,16.996448516845703%,0.187,0.287,0.047,0.327,0.105,0.12,0.056,0.474,0.068,0.216,17.496,0.102,0.011,0.178,0.163,0.023,0.848,0.729,0.277,0.225,0.006,0.038,0.958,1.125,3.678,5.154,6.55,0.012,0.307,0.005,0.033,0.061,0.494,0.701,0.818,0.137,0.91,0.704,0.898,248.14,260.788,0.952,3,1,46.53,0,3,13,3,0,17,0.0,5,0,0,0,0,3,5,1,1,0.406,4.445,0.667,50.16,3.868,2,2,0,0,Accepted,Accepted,Accepted,Accepted,8
CC1CCC2(OC1)OC1CC3C4CC=C5CC(O)CCC5(C)C4CCC3(C)C1C2C,-5.869,4.972,5.556,0.281,0.001,0.005,0.005,0.05,-4.805,4.715955219580792e-05,0.701,97.7434310913086%,1.695,1.872105360031128%,0.017,0.452,0.058,0.94,0.123,0.079,0.008,0.775,0.181,0.532,23.332,0.023,0.029,0.204,0.057,0.053,0.748,0.646,0.241,0.188,0.003,0.009,0.517,3.319,4.719,4.955,5.748,0.001,0.008,0.0,0.338,0.116,0.87,0.009,0.219,0.011,0.057,0.936,0.424,414.31,447.944,0.925,3,1,38.69,0,6,20,3,0,30,0.0,11,1,0,0,0,1,2,0,0,0.516,5.244,0.926,137.077,3.357,0,0,0,0,Accepted,Rejected,Rejected,Accepted,3
C=C1C(=O)OC2C=C(C)CCC=C(C)CCC12,-2.908,3.174,4.032,0.074,0.0,0.007,0.772,0.018,-4.496,2.41363904933678e-05,0.05,94.297607421875%,4.1,3.915311098098755%,0.738,0.365,0.743,0.375,0.642,0.666,0.057,0.213,0.363,0.197,6.112,0.115,0.007,0.457,0.509,0.376,0.71,0.631,0.487,0.62,0.026,0.365,0.96,1.465,3.712,5.93,6.348,0.139,0.699,0.022,0.285,0.086,0.711,0.71,0.909,0.012,0.923,0.612,0.874,232.15,257.918,0.9,2,0,26.3,0,2,13,2,0,16,0.0,2,0,0,0,0,4,4,1,1,0.363,4.23,0.533,30.261,3.385,2,2,0,0,Accepted,Rejected,Rejected,Accepted,7
CC1CCC2CC1C2(C)C,-4.962,4.18,4.115,0.001,0.0,0.003,0.029,0.455,-4.47,1.774026168277487e-05,0.882,89.93682861328125%,1.551,10.620582580566406%,0.475,0.686,0.211,0.909,0.405,0.832,0.01,0.722,0.053,0.32,14.157,0.132,0.014,0.071,0.091,0.003,0.035,0.122,0.532,0.034,0.983,0.975,0.874,2.922,4.276,4.685,5.104,0.006,0.002,0.005,0.004,0.282,0.548,0.004,0.014,0.002,0.034,0.046,0.002,138.14,164.403,0.84,0,0,0.0,0,2,0,0,0,8,0.0,3,0,0,0,0,0,1,0,0,0.482,4.071,1.0,32.4,2.521,0,0,0,0,Accepted,Rejected,Rejected,Rejected,2
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC1=C(C=O)CCCC1,-6.788,4.864,6.912,0.96,0.008,0.01,0.035,0.015,-4.858,1.6450276234536432e-05,0.012,97.49478149414062%,4.769,1.3060437440872192%,0.338,0.917,0.271,0.917,0.1,0.679,0.962,0.933,0.32,0.737,0.862,0.179,0.597,0.247,0.256,0.076,0.183,0.877,0.959,0.597,0.003,0.333,0.957,2.019,5.065,6.08,5.69,0.063,0.138,0.012,0.861,0.072,0.482,0.933,0.947,0.051,0.899,0.952,0.959,324.25,382.223,0.848,1,0,17.07,5,2,6,1,0,16,0.312,0,0,0,3,0,4,1,3,1,0.409,3.359,0.522,20.4,1.775,2,2,0,0,Accepted,Rejected,Rejected,Accepted,9
C=C1C(=O)OC2CC(C)C3CC(O)OC(O)C3(C)CC12,-1.918,0.996,0.556,0.0,0.001,0.037,0.002,0.018,-5.059,4.610598625731655e-05,0.678,67.85411834716797%,1.104,36.008872985839844%,0.017,0.354,0.015,0.834,0.058,0.107,0.004,0.289,0.123,0.429,9.914,0.589,0.018,0.114,0.412,0.537,0.527,0.874,0.365,0.599,0.003,0.021,0.883,0.912,3.21,3.583,5.5,0.485,0.67,0.005,0.029,0.097,0.659,0.804,0.772,0.014,0.823,0.81,0.908,282.15,281.005,1.004,5,2,75.99,0,3,14,5,0,18,0.0,7,1,0,0,0,4,6,1,1,0.515,4.9,0.8,54.815,3.396,2,2,0,0,Accepted,Accepted,Accepted,Accepted,8
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(c7coc(O)c7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,-3.901,3.101,2.113,0.012,0.024,0.172,0.071,0.947,-5.677,9.793882054509596e-05,0.08,73.18523406982422%,0.463,12.854705810546875%,0.0,0.524,0.002,0.394,0.003,0.077,0.0,0.198,0.017,0.451,17.9,0.028,0.446,0.294,0.018,0.082,0.996,0.96,0.082,0.101,0.003,0.004,0.903,1.589,4.669,4.034,6.163,0.0,0.187,0.0,0.825,0.112,0.241,0.778,0.468,0.018,0.623,0.965,0.932,780.43,767.03,1.017,14,7,210.13,7,8,17,14,0,43,0.163,21,1,0,0,0,1,3,1,0,0.198,6.221,0.902,202.487,1.985,0,0,0,0,Rejected,Accepted,Rejected,Rejected,7
CC1=C2C(O)C3CC(O)C(C)C2(CC1O)C3(C)C,-2.474,2.132,1.176,0.0,0.95,0.061,0.005,0.007,-4.882,4.127607098780573e-05,0.908,63.20637512207031%,1.328,37.212135314941406%,0.016,0.256,0.011,0.907,0.014,0.823,0.002,0.295,0.007,0.385,8.701,0.11,0.017,0.258,0.113,0.039,0.202,0.095,0.039,0.04,0.003,0.017,0.236,0.534,1.875,2.521,5.005,0.014,0.003,0.003,0.103,0.089,0.04,0.028,0.033,0.008,0.298,0.687,0.013,252.17,266.061,0.948,3,3,60.69,0,3,10,3,0,13,0.0,6,0,0,0,0,0,1,0,0,0.572,5.963,0.867,80.143,3.219,0,0,0,0,Accepted,Accepted,Accepted,Accepted,0
CN(C)C1COC2C1(C)CCC1C34CCC(O)(OC3)C3(C)C(=O)OC(C5OC521)C43,-3.741,1.746,1.844,0.915,0.192,0.02,0.928,0.547,-5.409,2.003853842325043e-05,0.689,29.00690269470215%,1.747,64.27786254882812%,0.01,0.966,0.013,0.934,0.029,0.018,0.016,0.862,0.51,0.885,15.076,0.027,0.585,0.568,0.044,0.029,0.645,0.925,0.04,0.065,0.003,0.006,0.977,1.774,3.724,4.997,6.185,0.001,0.032,0.003,0.767,0.066,0.03,0.016,0.087,0.117,0.07,0.234,0.98,405.22,390.275,1.038,7,1,80.76,1,7,0,7,0,29,0.034,11,3,1,2,0,4,4,3,5,0.513,7.222,0.955,166.791,2.939,1,0,0,0,Accepted,Accepted,Rejected,Accepted,4
COC1C(=O)CCC2(CO2)C1(O)C1(C)OC1CC=C(C)C,-2.482,1.303,1.977,0.002,0.684,0.073,0.078,0.086,-4.712,1.913697269628756e-05,0.964,68.84735107421875%,1.437,23.929719924926758%,0.008,0.938,0.018,0.835,0.01,0.025,0.004,0.149,0.016,0.497,13.356,0.31,0.028,0.317,0.159,0.08,0.964,0.062,0.606,0.664,0.003,0.012,0.374,1.037,2.033,2.574,4.743,0.226,0.843,0.019,0.887,0.126,0.029,0.483,0.038,0.523,0.109,0.35,0.965,296.16,298.301,0.993,5,1,71.59,4,3,6,5,0,14,0.286,5,3,1,2,0,3,4,1,5,0.627,5.321,0.812,78.138,2.935,0,1,0,0,Accepted,Accepted,Accepted,Accepted,4
CC(C)CCCC(C)CCCC(C)CCCC1(C)CCC(=O)O1,-6.799,5.807,7.327,0.58,0.0,0.002,0.403,0.709,-4.593,1.793560295482166e-05,0.3,98.03868103027344%,1.384,2.447665214538574%,0.212,0.192,0.332,0.693,0.389,0.838,0.103,0.038,0.445,0.155,8.495,0.094,0.02,0.235,0.357,0.004,0.01,0.032,0.958,0.067,0.893,0.322,0.506,2.86,5.04,4.347,5.159,0.033,0.003,0.001,0.012,0.251,0.26,0.02,0.032,0.001,0.355,0.035,0.002,324.3,378.16,0.858,2,0,26.3,12,1,5,2,0,6,2.0,3,0,0,0,0,0,2,0,0,0.382,3.621,0.952,21.463,1.582,1,1,0,0,Accepted,Rejected,Rejected,Rejected,2
CCC(CCC(C)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C)C(C)C,-6.934,6.52,7.65,0.546,0.0,0.004,0.353,0.932,-4.838,6.964122803765349e-06,0.979,98.05030059814453%,1.846,1.4607465267181396%,0.046,0.492,0.101,0.957,0.112,0.482,0.004,0.401,0.248,0.809,15.901,0.036,0.089,0.277,0.807,0.021,0.034,0.61,0.114,0.056,0.004,0.013,0.959,2.944,5.005,5.436,5.971,0.002,0.005,0.0,0.033,0.19,0.867,0.511,0.099,0.001,0.057,0.793,0.019,412.37,479.432,0.86,1,0,17.07,6,4,17,1,0,21,0.286,8,1,0,0,0,1,1,0,0,0.401,4.41,0.897,67.745,2.593,0,0,0,0,Accepted,Rejected,Rejected,Rejected,3
CC(C)C1=C2CCC3(C)C(CC=C4C5CC(C)(C)CCC5(C)CCC43C)C2(C)CC1,-7.114,6.295,8.575,0.299,0.0,0.1,0.689,0.888,-5.026,6.567599484696984e-06,0.042,99.2682113647461%,4.378,1.5693100690841675%,0.026,0.567,0.076,0.981,0.091,0.507,0.468,0.671,0.336,0.894,11.193,0.005,0.004,0.118,0.025,0.034,0.196,0.327,0.016,0.113,0.003,0.561,0.931,2.805,5.131,6.153,6.232,0.011,0.015,0.0,0.508,0.233,0.509,0.058,0.236,0.002,0.078,0.399,0.003,408.38,479.381,0.852,0,0,0.0,1,5,21,0,0,25,0.04,6,0,0,0,0,0,1,0,0,0.379,4.602,0.867,93.857,3.304,0,0,0,0,Accepted,Rejected,Rejected,Rejected,1
CC(C)=CCCC(C)=CCO,-2.718,2.719,3.606,0.013,0.004,0.004,0.958,0.985,-4.299,1.4124835615803022e-05,0.945,88.86487579345703%,3.402,9.835766792297363%,0.579,0.189,0.063,0.445,0.028,0.75,0.014,0.12,0.023,0.204,12.604,0.737,0.014,0.928,0.039,0.004,0.012,0.023,0.934,0.539,0.569,0.988,0.023,0.939,1.797,3.762,5.066,0.007,0.003,0.014,0.009,0.068,0.015,0.003,0.034,0.004,0.514,0.049,0.004,154.14,185.034,0.833,1,1,20.23,4,0,0,1,0,2,2.0,0,0,0,0,0,1,0,0,1,0.617,2.681,0.6,0.0,2.905,0,0,0,0,Accepted,Rejected,Accepted,Rejected,3
C=CC1(C)CCC(C(C)(C)O)O1,-0.777,1.341,1.757,0.0,0.001,0.005,0.004,0.005,-4.253,2.6720443202066235e-05,0.966,60.924774169921875%,1.437,42.00716781616211%,0.03,0.601,0.026,0.885,0.03,0.224,0.006,0.385,0.095,0.347,6.418,0.625,0.012,0.056,0.03,0.02,0.042,0.037,0.175,0.131,0.155,0.906,0.041,0.944,2.348,2.722,3.425,0.005,0.004,0.004,0.019,0.096,0.039,0.005,0.027,0.006,0.015,0.17,0.041,170.13,187.904,0.905,2,1,29.46,2,1,5,2,0,6,0.333,2,1,0,0,0,0,2,1,0,0.641,4.037,0.8,24.444,3.614,0,0,0,0,Accepted,Accepted,Accepted,Rejected,1
CC1CC(=O)CC(C)(C)C1=O,-0.67,-0.336,0.921,0.04,0.003,0.007,0.009,0.006,-4.562,3.33600546582602e-05,0.864,44.61903381347656%,0.714,70.89178466796875%,0.025,0.595,0.095,0.844,0.027,0.726,0.006,0.742,0.016,0.26,10.192,0.854,0.006,0.288,0.601,0.247,0.117,0.032,0.096,0.189,0.676,0.539,0.482,0.277,1.955,2.165,2.629,0.015,0.009,0.147,0.017,0.063,0.018,0.782,0.021,0.014,0.006,0.225,0.008,154.1,167.971,0.917,2,0,34.14,0,1,6,2,0,8,0.0,1,1,0,0,0,1,1,0,0,0.531,3.57,0.778,22.5,1.54,0,0,0,0,Accepted,Accepted,Accepted,Rejected,1
CC1(C)C2CCC(CO)C1C2,-3.121,2.751,2.574,0.0,0.0,0.004,0.007,0.014,-4.404,2.5992972950916737e-05,0.965,61.892913818359375%,0.953,37.0932502746582%,0.202,0.474,0.046,0.807,0.128,0.748,0.003,0.823,0.03,0.282,12.213,0.301,0.013,0.151,0.04,0.003,0.042,0.096,0.515,0.038,0.929,0.979,0.713,1.529,3.84,3.931,4.298,0.008,0.002,0.004,0.006,0.175,0.321,0.002,0.017,0.003,0.046,0.061,0.003,154.14,173.194,0.89,1,1,20.23,1,2,0,1,0,8,0.125,3,0,0,0,0,0,1,0,0,0.613,4.185,1.0,32.4,2.76,0,0,0,0,Accepted,Accepted,Accepted,Rejected,2
CC1=CC(C)C(CO)C(C)C1,-2.366,2.492,2.668,0.0,0.002,0.008,0.034,0.054,-4.274,1.4288444617704954e-05,0.955,86.73338317871094%,2.329,11.082459449768066%,0.293,0.493,0.02,0.838,0.014,0.281,0.004,0.298,0.04,0.436,11.141,0.478,0.009,0.462,0.531,0.024,0.091,0.019,0.066,0.477,0.015,0.624,0.029,0.801,2.098,2.812,3.88,0.006,0.003,0.008,0.003,0.306,0.461,0.002,0.016,0.003,0.356,0.035,0.003,154.14,179.114,0.861,1,1,20.23,1,1,6,1,0,6,0.167,3,0,0,0,0,0,1,0,0,0.574,3.863,0.8,17.111,2.054,0,0,0,0,Accepted,Accepted,Accepted,Rejected,1
CC1C(O)CC2CC1C2(C)C,-3.097,2.982,2.662,0.0,0.005,0.005,0.006,0.059,-4.434,3.467878559604287e-05,0.976,54.63710403442383%,1.193,40.95698165893555%,0.104,0.328,0.024,0.876,0.077,0.788,0.002,0.671,0.021,0.299,15.208,0.264,0.011,0.105,0.033,0.003,0.049,0.139,0.172,0.041,0.455,0.906,0.847,2.082,4.182,4.621,5.305,0.003,0.002,0.005,0.003,0.404,0.655,0.003,0.014,0.002,0.012,0.087,0.003,154.14,173.194,0.89,1,1,20.23,0,2,0,1,0,8,0.0,4,0,0,0,0,0,1,0,0,0.566,4.35,1.0,35.1,2.474,0,0,0,0,Accepted,Accepted,Accepted,Rejected,1
CC(C)C12CCC(C)(O)C1C2,-1.824,2.004,2.44,0.0,0.001,0.009,0.023,0.224,-4.329,2.340481114515569e-05,0.778,71.09745788574219%,1.222,36.2598876953125%,0.069,0.571,0.063,0.904,0.051,0.229,0.016,0.365,0.155,0.299,14.208,0.389,0.014,0.084,0.039,0.033,0.076,0.049,0.14,0.123,0.064,0.958,0.112,1.512,3.014,3.179,4.103,0.014,0.003,0.002,0.01,0.147,0.119,0.003,0.028,0.005,0.008,0.046,0.005,154.14,173.194,0.89,1,1,20.23,1,2,6,1,0,7,0.143,3,0,0,0,0,0,1,0,0,0.614,4.223,1.0,36.4,3.08,0,0,0,0,Accepted,Accepted,Accepted,Rejected,0
CC12CCC(C1)C(C)(C)C2O,-2.157,2.533,2.746,0.001,0.001,0.004,0.025,0.006,-4.538,2.689770008146297e-05,0.829,67.23371887207031%,0.91,42.129459381103516%,0.175,0.451,0.097,0.87,0.196,0.542,0.017,0.721,0.025,0.199,9.561,0.269,0.016,0.072,0.031,0.01,0.447,0.776,0.39,0.024,0.562,0.768,0.947,1.749,3.85,4.346,5.547,0.009,0.004,0.002,0.014,0.168,0.057,0.006,0.02,0.004,0.01,0.283,0.003,154.14,173.194,0.89,1,1,20.23,0,2,6,1,0,8,0.0,3,0,0,0,0,0,1,0,0,0.567,4.639,1.0,37.8,2.679,0,0,0,0,Accepted,Accepted,Accepted,Rejected,2
CC1=C(C=O)C(C)(C)CC=C1,-3.06,2.7,3.059,0.002,0.002,0.006,0.003,0.001,-4.426,3.57363824150525e-05,0.403,82.27432250976562%,2.228,19.775264739990234%,0.427,0.795,0.32,0.884,0.032,0.897,0.151,0.883,0.032,0.298,2.445,0.6,0.019,0.276,0.099,0.301,0.594,0.513,0.861,0.889,0.937,0.971,0.965,0.922,3.273,4.109,4.709,0.022,0.012,0.003,0.124,0.102,0.245,0.25,0.115,0.011,0.181,0.034,0.274,150.1,173.841,0.863,1,0,17.07,1,1,6,1,0,7,0.143,0,0,0,1,0,4,1,2,1,0.525,3.417,0.5,10.133,2.881,2,1,0,0,Accepted,Rejected,Accepted,Rejected,5
CC1=CCC2C3C(C(C)C)CCC2(C)C13,-5.329,4.484,4.844,0.0,0.0,0.004,0.027,0.578,-4.357,1.4112930330156814e-05,0.664,97.25880432128906%,3.393,2.5790014266967773%,0.323,0.593,0.225,0.933,0.332,0.351,0.018,0.479,0.157,0.42,19.832,0.059,0.027,0.25,0.073,0.015,0.451,0.572,0.046,0.061,0.011,0.029,0.545,3.323,4.293,4.834,6.745,0.0,0.002,0.003,0.003,0.273,0.789,0.002,0.016,0.002,0.24,0.607,0.002,204.19,239.69,0.852,0,0,0.0,1,3,0,0,0,12,0.083,5,0,0,0,0,0,1,0,0,0.559,5.199,0.867,46.286,3.167,0,0,0,0,Accepted,Rejected,Rejected,Accepted,1
C=C1C2CCC3C2C(C(C)C)CCC13C,-5.694,4.385,4.26,0.0,0.0,0.003,0.003,0.161,-4.533,1.595103276486043e-05,0.86,91.11672973632812%,2.788,7.171431064605713%,0.304,0.773,0.159,0.953,0.283,0.381,0.016,0.545,0.192,0.65,15.93,0.032,0.035,0.268,0.227,0.037,0.316,0.776,0.047,0.091,0.004,0.037,0.874,3.179,3.943,4.042,5.746,0.002,0.003,0.001,0.006,0.209,0.784,0.002,0.019,0.005,0.161,0.404,0.01,204.19,239.69,0.852,0,0,0.0,1,3,0,0,0,13,0.077,5,0,0,0,0,0,1,0,0,0.559,5.212,0.867,47.571,2.798,0,0,0,0,Accepted,Rejected,Rejected,Accepted,3
C=C1CCC=C(C)CCC2C1CC2(C)C,-6.163,4.682,5.906,0.423,0.0,0.003,0.885,0.156,-4.517,1.4713710697833449e-05,0.832,95.28889465332031%,4.138,3.3572583198547363%,0.372,0.515,0.371,0.858,0.332,0.891,0.021,0.863,0.133,0.244,9.943,0.048,0.019,0.26,0.13,0.012,0.049,0.634,0.203,0.357,0.031,0.769,0.059,3.129,4.024,4.957,6.196,0.027,0.004,0.004,0.011,0.101,0.347,0.004,0.041,0.004,0.187,0.233,0.005,204.19,245.61,0.831,0,0,0.0,0,2,11,0,0,13,0.0,2,0,0,0,0,0,1,0,0,0.501,4.172,0.733,34.0,3.432,0,0,0,0,Accepted,Rejected,Rejected,Accepted,0
CC1=C2C(CC1)C(C)CCC1C2C1(C)C,-6.425,4.593,5.1,0.032,0.0,0.004,0.026,0.366,-4.587,1.582583354320377e-05,0.831,97.72867584228516%,4.672,2.1612672805786133%,0.315,0.678,0.3,0.916,0.363,0.771,0.02,0.206,0.368,0.434,11.327,0.015,0.008,0.174,0.432,0.007,0.483,0.338,0.048,0.048,0.023,0.089,0.919,3.263,4.796,5.861,6.647,0.002,0.003,0.005,0.004,0.208,0.627,0.003,0.017,0.003,0.791,0.865,0.005,204.19,239.69,0.852,0,0,0.0,0,3,11,0,0,13,0.0,4,0,0,0,0,0,1,0,0,0.513,4.036,0.867,47.571,2.686,0,0,0,0,Accepted,Rejected,Rejected,Accepted,3
C=C1CCC2C(C3C(C)CCC13)C2(C)C,-5.695,4.389,4.585,0.001,0.0,0.003,0.007,0.06,-4.577,2.200380731665064e-05,0.916,93.56920623779297%,1.647,4.762468338012695%,0.366,0.764,0.207,0.92,0.337,0.599,0.02,0.798,0.164,0.424,13.563,0.04,0.021,0.256,0.243,0.011,0.56,0.884,0.037,0.043,0.008,0.03,0.873,3.295,4.705,5.41,6.639,0.001,0.002,0.003,0.003,0.395,0.84,0.002,0.016,0.002,0.153,0.375,0.003,204.19,239.69,0.852,0,0,0.0,0,3,11,0,0,14,0.0,5,0,0,0,0,0,1,0,0,0.517,4.223,0.867,48.857,3.363,0,0,0,0,Accepted,Rejected,Rejected,Accepted,3
C=C1CCC2C(C3C(C)CCC13)C2(C)C,-5.695,4.389,4.585,0.001,0.0,0.003,0.007,0.06,-4.577,2.200380731665064e-05,0.916,93.56920623779297%,1.647,4.762468338012695%,0.366,0.764,0.207,0.92,0.337,0.599,0.02,0.798,0.164,0.424,13.563,0.04,0.021,0.256,0.243,0.011,0.56,0.884,0.037,0.043,0.008,0.03,0.873,3.295,4.705,5.41,6.639,0.001,0.002,0.003,0.003,0.395,0.84,0.002,0.016,0.002,0.153,0.375,0.003,204.19,239.69,0.852,0,0,0.0,0,3,11,0,0,14,0.0,5,0,0,0,0,0,1,0,0,0.517,4.223,0.867,48.857,3.363,0,0,0,0,Accepted,Rejected,Rejected,Accepted,3
