smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,toxicity_score
CC1=CCC2C(C1)C2(C)C,-4.652,3.762,4.36,0.0,0.0,0.003,0.125,0.127,-4.307,2.097228389175143e-05,0.804,91.51588439941406%,3.601,11.942855834960938%,0.706,0.324,0.339,0.839,0.275,0.77,0.013,0.448,0.045,0.23,16.061,0.132,0.01,0.172,0.049,0.004,0.035,0.155,0.785,0.147,0.941,0.98,0.266,2.763,3.374,3.766,5.793,0.006,0.002,0.007,0.005,0.122,0.222,0.003,0.02,0.003,0.118,0.086,0.002,136.13,161.767,0.842,0,0,0.0,0,2,7,0,0,8,0.0,2,0,0,0,0,0,1,0,0,0.449,3.688,0.8,30.667,2.769,0,0,0,0,Accepted,Rejected,Rejected,Rejected,2
CC1=CC=C(C(C)C)CC1,-2.989,2.476,3.092,0.474,0.017,0.004,0.019,0.103,-4.475,2.0210598449921235e-05,0.451,93.2470474243164%,2.857,9.536053657531738%,0.549,0.873,0.14,0.948,0.12,0.705,0.595,0.883,0.015,0.555,0.877,0.616,0.012,0.172,0.114,0.02,0.024,0.141,0.815,0.723,0.855,0.987,0.159,2.246,3.064,4.331,4.538,0.003,0.002,0.018,0.003,0.084,0.007,0.004,0.027,0.004,0.011,0.004,0.005,136.13,167.687,0.812,0,0,0.0,1,1,6,0,0,6,0.167,0,0,0,0,0,0,1,0,0,0.518,3.113,0.6,7.5,2.528,0,0,0,0,Accepted,Rejected,Accepted,Rejected,3
C=C1C2CCCCCC12,-3.893,2.924,3.04,0.0,0.0,0.004,0.031,0.027,-4.495,2.069598122034222e-05,0.995,53.13905334472656%,1.559,31.56450080871582%,0.834,0.906,0.346,0.791,0.106,0.741,0.042,0.75,0.097,0.299,8.494,0.079,0.017,0.297,0.184,0.075,0.245,0.736,0.182,0.599,0.438,0.989,0.853,2.612,3.96,4.26,5.078,0.009,0.005,0.019,0.015,0.072,0.01,0.003,0.027,0.03,0.816,0.155,0.066,122.11,144.471,0.845,0,0,0.0,0,2,8,0,0,10,0.0,2,0,0,0,0,0,1,0,0,0.433,3.358,0.778,25.875,0.892,0,0,0,0,Accepted,Rejected,Accepted,Rejected,3
CC1=CCC(C(C)C)=CC1,-3.985,3.482,4.307,0.009,0.001,0.003,0.993,0.996,-4.343,2.0592939108610157e-05,0.386,93.7353515625%,4.876,5.944646835327148%,0.928,0.243,0.34,0.769,0.313,0.834,0.11,0.432,0.123,0.228,12.063,0.409,0.003,0.117,0.523,0.008,0.021,0.042,0.077,0.961,0.245,0.951,0.029,2.172,2.246,3.328,4.569,0.085,0.002,0.013,0.004,0.103,0.174,0.005,0.029,0.003,0.148,0.025,0.005,136.13,167.687,0.812,0,0,0.0,1,1,6,0,0,6,0.167,0,0,0,0,0,0,1,0,0,0.485,3.325,0.6,7.5,2.518,0,0,0,0,Accepted,Rejected,Rejected,Rejected,1
CC(C)=C1CCC(C)CC1,-4.18,4.005,4.352,0.023,0.002,0.003,0.918,0.022,-4.414,1.953146238520276e-05,0.472,97.64490509033203%,5.397,2.2004337310791016%,0.819,0.553,0.359,0.759,0.524,0.924,0.014,0.122,0.028,0.195,11.835,0.221,0.021,0.083,0.143,0.006,0.012,0.017,0.271,0.24,0.736,0.981,0.047,2.764,3.585,4.193,4.347,0.013,0.002,0.015,0.004,0.348,0.077,0.005,0.016,0.003,0.133,0.005,0.003,138.14,170.323,0.811,0,0,0.0,0,1,6,0,0,7,0.0,0,0,0,0,0,0,1,0,0,0.449,2.636,0.8,9.333,0.871,0,0,0,0,Accepted,Rejected,Rejected,Rejected,1
CC1=CC2C(CC1O)C2(C)C,-2.412,2.532,2.287,0.0,0.082,0.008,0.015,0.027,-4.386,2.1379451936809343e-05,0.965,62.42178726196289%,1.279,34.72654724121094%,0.13,0.273,0.041,0.871,0.091,0.823,0.005,0.729,0.018,0.313,12.527,0.186,0.01,0.273,0.059,0.009,0.12,0.259,0.068,0.044,0.039,0.563,0.808,2.28,3.928,5.429,6.723,0.003,0.002,0.005,0.003,0.226,0.184,0.004,0.02,0.004,0.093,0.417,0.003,152.12,170.557,0.892,1,1,20.23,0,2,7,1,0,8,0.0,3,0,0,0,0,0,1,0,0,0.526,4.138,0.8,33.222,3.567,0,0,0,0,Accepted,Accepted,Accepted,Rejected,1
C=C(C)C1C=CC(C)(O)CC1,-1.736,1.631,2.365,0.0,0.001,0.004,0.008,0.003,-4.231,2.5928782633855008e-05,0.998,49.465450286865234%,1.191,48.58420944213867%,0.064,0.818,0.097,0.853,0.023,0.375,0.012,0.583,0.313,0.356,8.349,0.514,0.01,0.07,0.026,0.011,0.034,0.045,0.039,0.673,0.041,0.823,0.102,1.338,2.401,3.019,3.869,0.006,0.003,0.007,0.015,0.126,0.024,0.003,0.051,0.006,0.032,0.381,0.012,152.12,176.477,0.862,1,1,20.23,1,1,6,1,0,7,0.143,2,0,0,0,0,0,1,0,0,0.571,4.127,0.6,20.0,3.573,0,0,0,0,Accepted,Accepted,Accepted,Rejected,0
C=C1C=CC2(C(C)C)CC12,-3.539,3.357,3.084,0.001,0.0,0.004,0.002,0.001,-4.394,4.314037141739391e-05,0.994,65.93543243408203%,1.489,27.413549423217773%,0.672,0.3,0.398,0.869,0.169,0.213,0.553,0.345,0.512,0.311,13.735,0.327,0.018,0.038,0.072,0.077,0.443,0.865,0.645,0.922,0.036,0.967,0.966,2.391,4.309,4.88,4.599,0.147,0.025,0.005,0.232,0.065,0.642,0.047,0.869,0.059,0.911,0.535,0.509,134.11,159.13,0.843,0,0,0.0,1,2,6,0,0,8,0.125,2,0,0,0,0,0,1,0,0,0.517,4.651,0.6,28.5,2.67,0,0,0,0,Accepted,Rejected,Accepted,Rejected,5
CC(C)=C1C2CCCCC12,-4.371,3.609,3.962,0.001,0.014,0.007,0.034,0.235,-4.369,2.0030267478432503e-05,0.961,96.29036712646484%,4.304,3.9001293182373047%,0.88,0.915,0.379,0.896,0.341,0.8,0.022,0.151,0.078,0.399,11.836,0.074,0.012,0.249,0.336,0.035,0.101,0.059,0.077,0.53,0.185,0.954,0.917,2.772,3.858,4.521,4.801,0.007,0.004,0.005,0.007,0.079,0.032,0.003,0.027,0.005,0.922,0.623,0.012,136.13,161.767,0.842,0,0,0.0,0,2,7,0,0,9,0.0,2,0,0,0,0,0,1,0,0,0.449,3.405,0.8,26.667,0.6,0,0,0,0,Accepted,Rejected,Accepted,Rejected,2
C=CC(C)=CCC=C(C)CCC=C(C)C,-5.434,4.52,6.286,0.768,0.003,0.005,0.851,0.97,-4.565,1.5389123291242868e-05,0.218,94.43482971191406%,5.502,4.625548839569092%,0.904,0.323,0.484,0.876,0.363,0.909,0.407,0.538,0.321,0.269,14.162,0.307,0.029,0.967,0.028,0.004,0.016,0.374,0.965,0.772,0.954,0.983,0.262,2.941,3.376,5.371,5.904,0.011,0.005,0.008,0.019,0.044,0.215,0.011,0.634,0.006,0.647,0.279,0.116,204.19,257.45,0.793,0,0,0.0,6,0,0,0,0,4,1.5,0,0,0,1,0,0,1,2,0,0.412,3.162,0.467,0.0,2.774,0,0,0,0,Accepted,Rejected,Rejected,Accepted,4
C1=C2CC2CCCCC1,-4.25,3.416,4.178,0.001,0.0,0.004,0.942,0.977,-4.451,2.03157433134038e-05,0.969,90.93965911865234%,2.405,6.646353721618652%,0.908,0.732,0.488,0.396,0.271,0.853,0.087,0.702,0.113,0.195,8.212,0.263,0.007,0.098,0.178,0.025,0.038,0.484,0.325,0.879,0.741,0.984,0.872,2.35,3.539,3.964,4.603,0.112,0.004,0.011,0.032,0.103,0.025,0.076,0.042,0.007,0.367,0.112,0.024,122.11,144.471,0.845,0,0,0.0,0,2,9,0,0,10,0.0,1,2,0,0,0,0,1,0,0,0.433,3.2,0.778,23.0,1.135,0,0,0,0,Accepted,Rejected,Rejected,Rejected,3
